entity_id,vehicle_id,vehicle_label,trip_id,route_id,route_short_name,route_long_name,direction_id,trip_headsign,latitude,longitude,bearing,speed_mps,current_status,stop_id,stop_name,timestamp_local,feed_header_timestamp_local
vehicle_position_67144,67144,Autobuss 56,AUTO56-03-1-260129-bca-1330,riga_bus_56,56,Daugavgrīva - Ziepniekkalns,1.0,Daugavgrīva,56.93587875366211,24.071044921875,354.0,0.0,2,1114,Āgenskalna tirgus,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
vehicle_position_67177,67177,Autobuss 43,AUTO43-01-1-260323-ba-1400,,,,,,56.91850662231445,23.962230682373047,100.0,0.0,2,8079,Pilotu skola,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_67188,67188,Autobuss 10,AUTO10-02-1-260323-ab-1340,,,,,,56.921146392822266,24.10036849975586,236.0,16.670000076293945,2,1361,Telts iela,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68117,68117,Autobuss 36,AUTO36-01-1-260323-ab-1400,,,,,,56.960445404052734,23.997142791748047,324.0,0.0,2,1062c,Imantas D/P,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68139,68139,Autobuss 41,AUTO41-02-1-260126-ab-1340,riga_bus_41,41,Esplanāde - Imanta,0.0,Imanta,56.960323333740234,24.017961502075195,88.0,0.2800000011920929,2,1071,Kleistu iela,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68161,68161,Autobuss 37,AUTO37-04-1-260323-ba-1340,,,,,,56.94612503051758,24.073978424072266,156.0,4.440000057220459,2,1094,Valsts arhīvs,2026-04-01T13:56:15+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68172,68172,Autobuss 41,AUTO41-03-1-260126-ab-1400,riga_bus_41,41,Esplanāde - Imanta,0.0,Imanta,56.95320129394531,24.115625381469727,210.0,1.1100000143051147,2,0194c,Esplanāde,2026-04-01T13:56:15+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68204,68204,Autobuss 3,AUTO3-05-1-260323-ba-1340,,,,,,56.953285217285156,24.1553897857666,284.0,0.0,2,0098,Daugavas stadions,2026-04-01T13:56:15+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68248,68248,Autobuss 7,AUTO7-01-1-260323-ba-1330,,,,,,56.9439697265625,24.109954833984375,70.0,6.110000133514404,2,1251a,Autoosta,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68259,68259,Autobuss 41,AUTO41-01-1-260126-ba-1350,riga_bus_41,41,Esplanāde - Imanta,1.0,Esplanāde,56.960357666015625,24.01386260986328,356.0,1.3899999856948853,2,1086,Kleistu iela,2026-04-01T13:55:40+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68313,68313,Autobuss 46,AUTO46-03-1-260323-ba-1340,,,,,,56.96854019165039,24.017654418945312,90.0,0.0,2,1066,Rigondas gatve,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
vehicle_position_68324,68324,Autobuss 37,AUTO37-02-1-260323-ab-1350,,,,,,56.94629669189453,24.074909210205078,230.0,1.940000057220459,2,3046,Mārtiņa iela,2026-04-01T13:56:15+03:00,2026-04-01T13:56:21+03:00
